category,foodCode,foodName,englishName,edible,water,energyKCal,energyKJ,protein,fat,CHO,dietaryFiber,cholesterol,ash,vitaminA,carotene,retinol,thiamin,riboflavin,niacin,vitaminC,vitaminETotal,vitaminE1,vitaminE2,vitaminE3,Ca,P,K,Na,Mg,Fe,Zn,Se,Cu,Mn,remark
乳类及其制品-其他,109001,炼乳（甜，罐头）,Condensed milk，pasteurized，sweetened，canned,100,26.2,332,1400,8.0,8.7,55.4,0.0,36,1.7,41,—,41,0.03,0.16,0.30,2.0,0.28,0.28,—,—,242,200,309,211.9,24,0.4,1.53,3.26,0.04,0.04,
乳类及其制品-其他,109002,奶皮子,Milk skin，fresh,100,36.9,460,1902,12.2,42.9,6.3,0.0,78,1.7,—,—,—,0.02,0.23,0.20,—,—,—,—,—,818,308,4,2.3,28,1.3,2.22,4.60,0.10,0.02,内蒙古
乳类及其制品-其他,109003,奶片,Milk tablet，sugar added,100,3.7,472,1982,13.3,20.2,59.3,0.0,65,3.5,75,—,75,0.05,0.20,1.60,5.0,0.05,—,—,—,269,427,356,179.7,32,1.6,3.00,12.10,0.06,—,武汉
乳类及其制品-其他,109004,全脂甜炼乳（雀巢）,,100,15.9,380,1601,7.5,10.0,64.9,0.0,7,1.7,—,—,105,0.07,0.41,0.21,Tr,0.30,0.30,Tr,Tr,334,243,308,88.6,21,0.2,1.04,18.74,0.12,0.06,山东
乳类及其制品-其他,109005,全脂甜炼乳（燕山牌）,,100,17.1,374,1577,8.2,10.0,62.8,0.0,3,1.9,—,—,68,0.08,0.32,0.22,Tr,Tr,Tr,Tr,Tr,317,246,428,103.9,23,0.2,1.15,7.89,0.03,0.05,北京
乳类及其制品-其他,109006,脱脂甜炼乳,,100,29.0,275,1169,10.3,0.2,58.0,0.0,—,2.5,0,0,0,0.10,0.50,0.20,2.0,—,—,—,—,330,300,520,180.0,—,0.3,—,—,—,—,
乳类及其制品-其他,109007,蛋白粉（益力健乳铁乳清蛋白粉）,,100,—,425,1789,50.0,12.5,28.0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,129.0,—,—,—,—,—,—,新西兰
乳类及其制品-其他,109008,牛初乳奶片（纽瑞滋牛初乳咀嚼奶片）,,100,—,347,1467,27.0,4.5,49.5,—,—,—,255,60,—,0.06,—,—,2.8,—,—,—,—,2126,—,450,111.0,50,0.3,3.90,—,—,—,新西兰
乳类及其制品-其他,109009,奶渣,,100,5.5,381,1612,44.4,4.2,41.3,0.0,42,4.6,29,—,2.9,0.05,0.19,—,Tr,0.21,0.10,0.07,0.04,874,910,523,161.0,78,3.1,7.22,1.40,0.03,0.98,西藏
乳类及其制品-奶油,105001,奶油,Cream,100,0.7,879,3616,0.7,97.0,0.9,0.0,209,0.7,297,Tr,297,Tr,0.01,0.00,Tr,1.99,1.17,—,—,14,11,226,268.0,2,1.0,0.09,0.70,0.42,Tr,青海
乳类及其制品-奶油,105002,奶油（焦克）,Cream,100,48.1,447,1838,3.0,48.3,0.0,0.0,92,0.6,—,—,—,0.05,0.16,0.20,—,—,—,—,—,202,82,138,41.1,10,1.0,0.32,5.50,0.02,0.10,内蒙古
乳类及其制品-奶油,105003,奶油（食品工业）,"Cream, for food industry use",100,43.4,504,2072,1.1,55.5,0.0,0.0,103,0.3,345,—,345,0.01,0.16,0.10,—,2.19,1.74,—,—,20,32,1064,190.8,2,0.1,1.10,0.94,0.03,0.83,上海
乳类及其制品-奶油,105004,黄油,Butter,100,0.5,888,3650,1.4,98.0,0.0,0.0,296,0.1,—,—,—,—,0.02,—,—,—,—,—,—,35,8,39,40.3,7,0.8,0.11,1.60,0.01,0.05,内蒙古
乳类及其制品-奶油,105005,黄油渣,"Butter residue, milk solids",100,4.7,599,2489,11.1,43.8,40.0,0.0,150,0.4,—,—,—,0.03,0.47,0.40,—,—,—,—,—,597,288,160,60.2,97,2.6,1.17,1.10,0.11,1.18,内蒙古
乳类及其制品-奶油,105006,白脱（食品工业）［牛油、黄油］,"Butter, for food industry use",100,17.7,744,3113,—,82.7,0.0,0.0,152,0.1,534,—,534,0.01,0.06,0.10,—,3.71,3.62,—,—,1,14,43,18.0,2,1.0,0.80,0.56,0.02,0.02,上海
乳类及其制品-奶油,105007,酥油,Shortening,100,2.5,860,3537,1.5,94.4,1.1,0.0,227,0.5,426,Tr,426,Tr,0.01,—,Tr,2.45,1.53,—,—,128,9,188,73.0,2,0.4,0.12,0.70,0.18,Tr,青海
乳类及其制品-奶油,105008,奶油,,100,11.0,785,3230,1.1,86.0,1.7,0.0,155,0.2,840,—,840,0.02,0.02,Tr,Tr,2.23,2.23,Tr,Tr,2,—,31,1.7,0,0.1,—,1.00,Tr,0.01,上海
乳类及其制品-奶油,105009,酥油,,100,14.0,718,2958,0.7,74.9,10.3,0.0,193,0.1,384,—,384,0.01,0.07,1.03,Tr,1.88,1.73,0.10,0.05,26,20,29,26.0,3,1.8,0.24,0.69,0.01,0.03,西藏
乳类及其制品-奶油,105010,酥油茶（原味）,,100,3.7,465,1952,3.0,17.7,73.3,0.0,3,2.3,Tr,—,Tr,Tr,0.14,2.24,Tr,5.13,1.09,3.42,0.62,27,304,620,265.0,13,2.2,0.83,0.69,0.01,0.03,西藏
乳类及其制品-奶粉,102101,全脂奶粉（多维奶粉）,Whole milk powder，fortified with vitamin,100,2.8,484,2027,19.9,22.7,49.9,—,68,4.7,77,—,77,0.28,6.68,0.50,9.0,0.48,0.48,—,—,1797,324,1910,567.8,22,1.4,3.71,16.80,0.11,0.02,
乳类及其制品-奶粉,102101x,全脂奶粉（代表值）,,100,2.6,482,2020,19.9,22.3,50.5,—,79,4.7,380,—,163,0.13,1.90,0.50,23.6,0.48,0.48,—,—,928,513,777,352.0,65,4.6,3.93,12.09,0.13,0.04,
乳类及其制品-奶粉,102103,全脂奶粉,Whole milk powder,100,2.3,478,2005,20.1,21.2,51.7,—,110,4.7,141,—,141,0.11,0.73,0.90,4.0,0.48,0.48,—,—,676,469,449,260.1,79,1.2,3.14,11.80,0.09,0.09,
乳类及其制品-奶粉,102104,全脂奶粉（速溶）,Whole milk powder，instant,100,2.3,466,1956,19.9,18.9,54.0,—,71,4.9,272,—,272,0.08,0.80,0.50,7.0,1.29,—,—,—,659,571,541,247.6,73,2.9,2.16,7.98,0.12,0.05,
乳类及其制品-奶粉,102105,全脂奶粉（雀巢）,,100,—,504,2107,24.0,28.0,39.0,—,—,5.8,630,—,—,—,1.10,—,—,—,—,—,—,930,720,—,—,—,—,—,—,—,—,
乳类及其制品-奶粉,102107,全脂奶粉（伊利牌）,,100,3.0,504,2110,22.0,26.0,45.5,—,65,3.5,525,—,—,0.04,0.17,0.09,—,—,—,—,—,750,550,209,220.6,91,3.9,3.97,11.78,0.20,0.01,
乳类及其制品-奶粉,102125,全脂奶粉（红星速溶加锌奶粉）,,100,—,478,2004,18.5,20.8,54.1,—,—,—,380,—,—,—,—,—,—,—,—,—,—,680,—,—,500.0,—,7.5,4.75,—,—,—,天津
乳类及其制品-奶粉,102126,全脂奶粉（欧世蒙牛多维高钙高铁奶粉）,,100,—,473,1981,18.2,21.7,51.1,—,—,—,627,—,—,—,—,—,50.0,—,—,—,—,864,446,—,280.0,60,7.2,4.08,—,—,—,内蒙古
乳类及其制品-奶粉,102127,全脂奶粉（雪花钙加锌调制奶粉）,,100,—,461,1936,17.0,19.0,55.5,—,—,—,350,—,—,—,—,—,—,—,—,—,—,1000,—,—,350.0,—,—,5.00,—,—,—,
